대분류,메뉴번호,메뉴이름,LWOState,LWOSubCookName,LWOMGTPowerLevel,LWOTargetTimeMinute,LWOTargetTimeSecond
제과제빵,1,깨찰빵,COOKING_IN_PROGRESS,3283,,40,
에어프라이,15,프라이드 치킨,COOKING_IN_PROGRESS,3228,4,12,
에어프라이,14,치킨 텐더,COOKING_IN_PROGRESS,3227,2,10,
에어프라이,13,웨지감자,COOKING_IN_PROGRESS,3225,4,10,
에어프라이,12,오징어 링,COOKING_IN_PROGRESS,3224,,12,30
에어프라이,11,어니언 링,COOKING_IN_PROGRESS,3223,2,9,
에어프라이,10,수제 돈가스,COOKING_IN_PROGRESS,3222,2,13,
에어프라이,9,새우튀김,COOKING_IN_PROGRESS,3221,,13,
에어프라이,8,라이스 핫도그,COOKING_IN_PROGRESS,3219,2,12,
에어프라이,7,닭강정,COOKING_IN_PROGRESS,3217,,14,
에어프라이,6,누룽지튀김,COOKING_IN_PROGRESS,3216,,10,
에어프라이,5,냉동 돈가스,COOKING_IN_PROGRESS,3213,,14,
에어프라이,4,냉동 너겟,COOKING_IN_PROGRESS,3212,,13,30
에어프라이,2,냉동 감자,COOKING_IN_PROGRESS,3210,2,12,30
에어프라이,1,고구마 맛탕,COOKING_IN_PROGRESS,3209,2,12,
레인지요리,10,치즈,COOKING_IN_PROGRESS,3280,7,13,
레인지요리,9,우유 데우기,COOKING_IN_PROGRESS,3279,7,1,
레인지요리,8,브로콜리,COOKING_IN_PROGRESS,3108,7,2,45
레인지요리,7,밥 데우기,COOKING_IN_PROGRESS,3104,7,1,10
레인지요리,6,라면,COOKING_IN_PROGRESS,3107,7,8,20
레인지요리,5,달걀찜,COOKING_IN_PROGRESS,3106,7,3,20
레인지요리,4,냉동 피자,COOKING_IN_PROGRESS,3131,7,1,45
레인지요리,3,냉동빵 데우기,COOKING_IN_PROGRESS,3278,4,,55
레인지요리,2,냉동떡 데우기,COOKING_IN_PROGRESS,3277,4,2,
레인지요리,1,국 데우기,COOKING_IN_PROGRESS,3102,7,2,40
에어프라이,3,냉동 군만두,COOKING_IN_PROGRESS,3211,2,12,
